,Pulse Rate,Body,SpO2,EEG A1-A2,EEG C3-A2,EEG C4-A1,Effort THO,Effort ABD,Tracheal
1361,55.0,6.0,94.1,26.750789654383123,33.016998550392884,24.916777294575386,-6.718547341115435,-5.207904173342489,0.0004119935912108034
1362,55.0,6.0,93.89999999999999,42.33989471274888,49.82877851529714,28.126298924238924,-1.9943541618982223,-1.829556725413901,0.0005951018539711605
1363,55.0,6.0,93.89999999999999,7.1879911497672655,15.135378042267456,23.846936751354207,5.897611963073167,3.5446707866025786,-0.00025940337224383917
1364,57.0,6.0,93.89999999999999,16.66372167544057,24.61110856794076,33.934004730296756,-3.2852674143587395,-1.7563134203097581,0.000289921416037232
1365,57.0,6.0,93.89999999999999,21.554421301594534,18.039230945296374,10.244678416113493,-3.8437476157778288,-3.5690852216372932,0.0004730296787975891
1366,58.0,6.0,93.8,33.628336003662135,46.772091248950915,40.65871671625845,0.6057831692988479,0.1297016861219196,0.00032043945983062486
1367,58.0,6.0,93.8,6.5766536964980205,12.842862592507787,21.86009002822916,4.158083466849775,3.2974746318760966,0.00019836728465705348
1368,58.0,6.0,93.8,9.480506599526937,27.362127107652366,23.38843366140227,-2.64438849469749,-1.2710765239948119,0.0001373311970702678
1369,59.0,6.0,93.89999999999999,23.54126802471958,26.750789654383123,19.414740215152175,-2.1499961852445257,-2.589456015869383,-0.0001373311970702678
1370,58.0,6.0,94.19999999999999,33.1698329137102,46.00791943236435,32.40566109712364,1.9882505531395438,1.8600747692072939,-0.0009308003356984817
1371,59.0,6.0,94.49999999999999,7.1879911497672655,11.00885023270005,16.205218585488637,0.8804455634393835,1.0818646524757762,-0.0001373311970702678
1372,58.0,6.0,94.69999999999999,17.122224765392506,23.846936751354207,35.61518272678718,-1.6830701152056153,-1.2802319371328297,-0.00044251163500419623
1373,57.0,6.0,95.19999999999999,17.427893492027128,11.00885023270005,32.25282673380633,-0.584420538643473,-1.0971236743724728,-0.0005035477225909819
1374,57.0,6.0,95.19999999999999,16.205218585488637,15.746715495536703,33.1698329137102,1.7685206378271152,1.6952773327229724,-0.0008087281605249103
1375,57.0,6.0,95.19999999999999,-2.7462424658579736,-1.0650644693675484,20.331746395056044,1.411459525444419,1.7410543984130618,-0.000869764248111696
1376,56.0,6.0,95.19999999999999,24.45827420462345,32.40566109712364,19.261905851834864,-0.950637064164187,-1.1154345006485085,-0.0009613183794918746
1377,56.0,6.0,95.1,24.15260547798883,27.514961470969677,25.986617837796565,-0.39215686274509803,-1.0238803692683298,-0.0014190890363927672
1378,55.0,6.0,94.89999999999999,26.903624017700434,28.126298924238924,28.73763637750817,-0.02594033722438392,0.4226749065384909,-0.0012970168612191958
1379,55.0,6.0,94.49999999999999,10.091844052796182,10.397512779430805,35.76801709010449,2.4277103837644005,2.0065613794155794,-0.0017242694743266956
1380,54.0,6.0,94.1,26.139452201113876,30.11314564736397,35.30951400015256,-0.950637064164187,-1.1612115663385978,-0.001083390554665446
1381,54.0,6.0,93.49999999999999,28.73763637750817,42.49272907606619,23.54126802471958,-0.5935759517814908,-1.0971236743724728,-0.0016327153429465172
1382,54.0,6.0,93.49999999999999,23.23559929808496,30.265980010681282,35.46234836346987,-1.133745326924544,-0.5294880598153658,-0.0015106431677729458
1383,54.0,6.0,93.3,1.2274509803921223,9.174837872892313,32.55849546044095,1.6403448538948653,2.3910887312123292,-0.0014801251239795529
1384,54.0,6.0,93.3,11.925856412603919,22.01292439154647,37.29636072327761,0.05645838101777676,0.15716792553597314,-0.0016937514305333029
1385,53.0,6.0,93.49999999999999,18.956237125200243,21.0959182116426,18.956237125200243,-0.37384603646906234,-1.0513466086823835,-0.0018158236057068742
1386,53.0,6.0,95.19999999999999,15.135378042267456,16.35805294880595,44.63241016250855,-1.197833218890669,-1.2893873502708477,-0.0019378957808804456
1387,53.0,6.0,95.19999999999999,37.29636072327761,45.09091325246049,20.790249485007976,-0.20904859998474098,0.3860532539864195,-0.002273594262607767
1388,53.0,6.0,96.1,30.72448310063322,33.1698329137102,18.80340276188293,0.6515602349889372,1.7685206378271152,-0.002059967956054017
1389,53.0,6.0,97.39999999999999,24.916777294575386,36.99069199664299,29.043305104142792,0.047302967879758906,-0.4013122758831159,-0.0021515220874341956
1390,53.0,6.0,97.8,9.633340962844247,11.00885023270005,31.94715800717171,-0.8865491721980621,-1.2344548714427406,-0.0019684138246738384
1391,53.0,6.0,97.99999999999999,25.986617837796565,20.026077668421422,5.50681315327684,-0.24567025253681238,-0.37384603646906234,-0.0028534370946822307
1392,53.0,6.0,98.19999999999999,27.209292744335055,29.80747692072935,18.497734035248307,-0.7400625619897765,0.46845197222858015,-0.000289921416037232
1393,52.0,6.0,98.19999999999999,12.384359502555853,34.23967345693138,35.46234836346987,0.1297016861219196,0.1846341649500267,-0.0023346303501945525
1394,52.0,6.0,98.19999999999999,19.87324330510411,19.261905851834864,23.694102388036892,-0.4196231021591516,-1.0421911955443657,-0.002212558175020981
1395,52.0,6.0,98.19999999999999,22.471427481498402,28.89047074082548,29.80747692072935,-1.078812848096437,-0.6942854962996872,-0.0029144731822690166
